content,label,title,subtitle,predicted_label
"法国喷气滑雪冠军FrankyZapata发明的喷气动力“悬浮滑板”FlyboardAir，最高能飞超过10,000英尺，时速可达150千米/小时。震惊全世界！有木有一种外星技术入侵的感脚？美国疯传的...",0,“飞行滑板”真的可以带你上天！,#空行飞行器#,0
搜狗浏览器存在重大安全漏洞，危及网银、邮箱等账户密码安全。记者电话采访招行、建行、工行等多家银行，相关银行客服部门回复称，目前已经把相关情况反馈给有关部门。此前已经有媒体报道称，此次搜狗浏览器被曝存明显漏洞有可能危及数千万网银账户的安全,1,三大银行称已将搜狗安全漏洞反馈给相关部门,,0
我们的院士制度就是个笑话，它配不上屠呦呦先生。屠呦呦是世界顶级女科学家，于2011年9月，发现青蒿素，有效降低疟疾病患者的死亡率，拯救了世界上数百万人的性命。网页链接,1,,,0
酸辣粉的9种不同做法，赶紧get起来，转需！,0,,,0
诺奖评委会秘书长沃尔本-林达勒：全球97个国家与地区的33亿人口仍在遭受疟疾威胁，70%的非洲疟疾患者应用青蒿素复方药物治疗。“屠呦呦不论是从学术上还是生活上都是一个很了不起的人。作为获奖人，她的经历是独一无二的。”祝贺，致敬！,0,诺奖评委：不论学术还是生活，屠呦呦都是很了不起的人[good],,0
罗昌平：新冠疫情以来，几位院士丑态百出：有的谎话连篇，有的如门外汉，有的客串公关念错稿子，感觉院士名额就是各种既利集团分猪肉一样得来的。屠呦呦先生拿过诺贝尔医学奖，虽说科研经费分配可能吃亏，但晚节比头衔更重要，不要也罢！,1,,,0
预计有此功能后，会出现以下不和谐现象1：男女盆友发现，你答应ta不再来往的人，竟还在微博上频繁互动2：原本把微博当吐槽树洞，结果被吐槽对象从你们共同朋友滴微博上顺藤摸瓜抓到你3：穿马甲开的微博失效，访客给你做了实名认证4：大家群体呼吁微博请留一点…我点评了,1,,#最近访客#,1
你要是嫌你们家网速慢你可以调啊！谁拦着你了？5分钟搞定！（转）?推荐关注生活点点通,1,,,1
微博悄悄关注功能是有bug，发现悄悄关注你的人其实很简单。点开“我的粉丝”，上面写的是按关注时间排序。你改选成其他二种，然后慢慢翻你的粉丝。关注你的粉丝上面有√号，而偷偷关注你的粉丝没有对号。粉丝少的同学有福了，快快找找谁偷偷关注你吧。我找了半天，发现有俩关注我，还是男的。,1,,#技术贴#,0
一不小心，删错了，还把回收站清空了，咋办啊？只要三步，你就能找回你删掉并清空回收站的东西！！！这个要留着哦！,1,删错文件，并且回收站也清空，如何找回！,,1
太空农场、水回收、氧气生成……为了生存，马特达蒙在火星上整出了各种妖蛾子（雾），然而这些黑科技，其实早就不是什么科学幻想了→_→,0,《火星救援》中真实的NASA科技,#如何不死在火星#,0
一不小心，删错了，还把回收站清空了，咋办啊？只要三步，你就能找回你删掉并清空回收站的东西（转）,1,删错文件，并且回收站也清空，如何找回！,,1
1943年加入飞虎队，对日飞行作战800小时，击落5架日机，4次成功飞越死亡之线，自身也曾被击落过3次，都死里逃生。1949年收到家书，当年12月辗转从香港到北京，任职南苑机场教官。大难不死的他却没逃过1950年镇反运动而入狱，74年方才出狱，一代飞虎，沦落到蹬三轮车养老的地步……,1,吴其轺,,0
美军夜间空袭ISIS地面武装力量。视频显示，通过红外夜视加上激光瞄准定位，进行近距航武定点射击，如同打游戏一样，逐一对地面人员加以清除。视频还显示，目标十分清晰，打击目标似只针对人，特别是携带武器的人员，而对妇女，房屋及牲畜并未攻击。O网页链接,1,,,1
今晨九点多，广东汕头市护堤路赤窖路段有飞机失事坠毁，击中房屋致大火，4人被困，其中1人自行走出，3人受伤已经送往医院救治，驾驶员已跳伞逃生。目前火灾已被扑灭。据最新图片判读，广东汕头坠毁的飞机疑似为歼击机。喜欢请关注神秘巫术,1,广东汕头飞机失事坠毁疑似为歼击机,,1
你对的态度是？白羊悦心的微博投票,0,,#台湾新竹空军基地内直升机坠落#,0
阿塞拜疆的米格-25与亚美尼亚地面防空系统的对决苏占军_不舍斋主的微博视频,1,转载,,1
截屏！！！郑州晚报：律师称李天一第一个与女子发生关系不构成轮奸。连纸媒都发了，真的有这种法律条文吗？哪位律师给科普下吧！迟夙生律师袁裕来律师,1,,,1
“把ISIS控制区的边界，刷上一层厚厚的猪油，他们就跑不出来了，然后再集中火力歼灭！”——最高司令官,0,,,0
「你打我一拳，我踢你一脚。」这叫比例原则。如果我踢你100脚，就不符比例原则。小回回干西方人，最多一次是911，不过3000人。从此每次几百人而已。反过来看西方人对付小回回，光在轰炸上就超过3000人的100倍、1000倍、10000倍，西方媒体从不指斥这是滥杀无辜，比例原则给狗吃了。,0,,,0
CNN报道说！马航370是被马来西亚皇家空军击落的！平行宇宙K猫大，你英语好，去看看CNN主页，求核实啊,1,,,1
希望呆蛙有事，希望善良的人没事，希望蔡蔡刚好路过??,0,,#台湾新竹空军基地内直升机坠落#,1
你救我性命，我陪你余生！汶川地震19岁兵哥哥救出12岁的女孩；10年后女孩：你该来娶我回家了！军人之家的微博视频,1,,#中国军事#,1
以色列军事情报网站DEBKAfile7月2号报道，美俄核潜艇在阿拉斯加海底爆发冲突，俄潜艇发射鱼雷击中了美国潜艇，美国副总统彭斯取消了原定在新罕布什内尔州的活动，被紧急召回白宫。,1,,,1
7月25日，贵州榕江县长、公安局长带领武警、特警等400余人，到车江乡某村非法征地，不料千名村民操起镰刀、锄头、粪桶对抗，县长被妇女们泼满大粪，不少武警也变得臭不可闻。现场杀声震天，犹如未日星球大战！,1,县长领兵来征地，逐被村妇猛泼粪,,0
据外媒透露，某国最大最先进的军舰——现代级驱逐舰近日在东海训练时，其弹药库因触礁被点燃导致全舰爆沉，3000余名官兵全部葬身海底。某国政府封锁了消息，但是有图有真相！每年那么多军费都花到哪去了？！被称为腐败透顶的北洋水师当年也没这种荒唐事情，就这德行还想夺回钓鱼岛？！,1,,,1
转：李天一翻案成功！刚刚得到的消息，三里屯酒吧老板被警方带走，警方开始对酒吧进行卖淫调查，李天一等五人有望立即由被告变为证人，最快周末出狱！——梦鸽今天可好好睡安稳觉了，不得不说：梦鸽真伟大——能把白弄成黑，把黑弄成白——不愧李将军夫人——“但使龙城飞将在，不教胡马度阴山。”,1,,,1
今天，俄罗斯总统新闻秘书佩斯科夫向媒体表示，在巴黎气候大会举办期间，俄总统普京不会与土耳其总统埃尔多安举行会晤。佩斯科夫还表示，目前普京的日程表上也没有安排任何与埃尔多安的接触。（央视记者薛冰）,0,俄总统秘书：巴黎气候大会期间普京不会与埃尔多安会晤,#土耳其击落俄战机#,0
程银宝，92岁，民国天门县长千金：19岁入国军投身抗日战争，冒枪林弹雨与日军厮杀，后腹部中弹致终身不育。49后因抗日经历屡遭批斗迫害几乎丧命，晚年住在几平米窝棚，无水无电无低保。老人说：我快要死了，只想有件新衣裳，可领导叫我去跟国民党拿！闻者催然泪下。,1,最凄凉的抗战女兵,,1
高军:军区副司令很牛逼，儿子在境外药迷性侵女士！老沉,1,,,1
据联合国安理会刚刚以15票赞成一致通过决议，促请有能力的会员国根据国际法，在叙利亚和伊拉克境内受“伊斯兰国”控制的领士上，采取一切必要措施，特别防止和打击伊斯兰国和胜利阵线的恐怖主义行为，摧毁它们在伊拉克和叙利亚相当多地方建立的庇护所,0,联合国通过打击IS决议,,0
朝鲜日报最新披露中日军力对比称：日本空军自卫队飞行员每周平均飞行训练为168小时，这一训练时间是中国空军的4倍。日本虽然没有核武器，但是拥有先进的核技术，一旦发生战争组装一枚核武器的时间只需要4小时，而中国导弹从内地发射打到日本本土需要4周时间。差距明显，这就是中国只敢抗议的根本原因。,1,,,1
李天一因是第一個強姦女子的人，遂以強姦罪而不是輪姦罪批補，而輪姦罪的判罰比強姦罪重的多。李天一76人龐大律師團表示，這是律師團共衕努力的結果。你們有設麼話說？沙壁老百姓們。,1,,,1
美国派出35艘医疗船，每艘船上都有1000到1500个病床和其他设施。这是人类与病毒的一场你死我活的战争！没有退路。加拿大·西门菲沙大学,1,,,1
今年我也是蛮拼的，上半年去的中途岛号航母，下半年去的珍珠港。但很遗憾，在珍珠港没能登上密苏里号战舰。理由竟是拒绝中国人参观！那是一个美国人纪念烈士的地方，曾经多个中国旅行团在里面说说笑笑。多次警告无效，只好取消了中国人参观资格。几时中国人能安静下来？学会聆听，学会感受，学会静修,1,,,0
李天一律师团队:“李天一因第一个与女子发生性行为，不够成轮奸，只构成强奸。”这是什么逻辑？是好无办法的强词夺理么？简直侮辱了学法人的智商！张起淮我在这里:2成都·四川大学,1,,,1
演唱的殷秀梅女士和蒋大为先生，都是美利坚合众国公民，美国国籍，他们两个还是现役中国大陆军人。我只能说，这他妈的太搞笑了。。,1,,,1
现实版抗日神剧房子将被拆光，老田头怒了，他曾自制土地雷对付日本鬼子，于是再制地雷保护自己的土地。老田头的地雷战炸毁两辆铲车却没死人，因为老田头不忍伤害同胞。工程停了，干部上门劝阻，可老田头说日本鬼子老子都不怕，还怕这帮小流氓。领导没法，请上级派工兵扫除所有土雷,1,“地雷战”反拆迁,,1
美国的潜艇和俄罗斯的核潜艇在阿拉斯加发生了冲突,1,,,1
2608，一名巴勒斯坦自杀炸弹手在进行恐怖攻击时，被以色列士兵即时射杀，回教徒在取回他的尸体后，就迫不急待的利用死者的尸体进行示威抗议，可是却没有把杀手身上的爆炸装置除掉，结果就发生了。。。。。。,1,,,1
中国海军徐州号受创，程度不明。海监船当场沉没一艘，潜艇安全返航。目前双方人员伤亡情况不明，但钓鱼岛已被中国军队控制。中国东海舰队、济南军区、南京军区、福建军区已进入紧急战备状态。,1,,,1
■俄罗斯：失联客机在美国印度洋基地迭戈卡西亚岛！-俄罗斯媒体称，俄军方不愿意透露姓名的人仕说，据他们掌握的信息，失联客机在美国印度洋基地迭戈卡西亚岛，客机藏在机库里，这个新机库是两年前建的，能停B52等大型机体。美国这样做无非就是勒索中国不要倒向俄罗,1,,,1
野外“魔鬼周训练”期间，战士们冒雨在泥潭中练习摔擒、搏击、举圆木...近日，武警湖南省总队直属支队组织官兵开展野外训练，旨在锤炼特战硬功，提高恶劣条件下处突反恐作战能力。点图，你愿为英勇的战士们点吗？,0,泥水之中，他们摔擒、搏击、匍匐前行…[赞],#微镜头#,0
太好了，最好全都死光光!!!日美海上军演发生直升机相撞，造成日自卫队36人死亡-据日本朝日新闻报道17日凌晨日美海上演习时两架阿帕奇直升机发生相撞事故，日本自卫队36人下落不明，日本防卫省正在调查事故原因，自今天下午14点已经发现33具...,1,,,1
法国防部15日晚发公报称，法10架战机，当天对极端组织“伊斯兰国”在叙利亚的目标实施空袭，共投20枚炸弹，摧毁该组织一个指挥所和一个训练营。此次行动与美军进行了协调。（新华社）,0,法国轰炸叙利亚境内IS投下20枚炸弹,#法国枪击爆炸事件#,0
皇军和八路军亲善珍贵史料流出,1,,,1
云南边境果敢出现缅甸军人抢劫。中国武警火速出击云南边境果敢出现缅甸军人抢劫。中国武警火速出击优酷,1,,,0
這就是強國法律!李雙江之子李天一強姦罪被拘捕。李的76人律師團領隊、法律大學副校長張愛國教授對媒體表示，李天一因是第一個與被害女子發生關係，所以不構成輪姦罪，只是以判罰較輕的強姦罪批捕，這是律師團所有成員共同努力的結果在強國輪姦都要第一個上！-原文地址：O网页链接,1,,,1
土耳其总统28日对俄军机被土方击落表示遗憾，同时呼吁与普京会面，这是其首次在公开场合对此事件表示遗憾。土耳其曾拒就击落俄战机表示道歉，俄方对土采取了一系列制裁性措施，包括计划冻结两国免签证安排、暂停军事交往等。,0,土耳其总统首次对俄罗斯战机被击落表示遗憾,#天下#,0
照片为中国人民志愿军阵亡勇士的遗体，第四次战役结束时拍摄于南朝鲜。这次战役美军收复了“三八线”以北的“堪萨斯线”，化解了中国人民志愿军的“春季攻势”（即第四次战役）。此后，朝鲜战争进入僵持局面。来自凤凰网历史：O网页链接,1,真实尸横遍野：第四次战役后美军察看志愿军遗体,,0
联合国安理会以15票赞成一致通过决议，促请有能力的会员国根据国际法，在叙利亚和伊拉克境内受“伊斯兰国”控制领土上，采取一切必要措施，特别防止和打击伊斯兰国和胜利阵线的恐怖主义行为，摧毁它们在伊拉克和叙利亚相当多的地方建立的庇护所。联合国,0,联合国：有能力国采取一切必要措施打击IS,,0
外媒称，土耳其已撤消与中国签署的价值34亿美元的“红旗9”远程防空导弹合约。土官员解释说，土耳其要自行研制远程防空系统。2013年9月，土耳其宣布中国公司中标其远程防空和反导弹系统。但因土耳其是北约成员国，此举引发美国和北约的担忧。,0,土耳其撤销中国防空导弹合约,#天下#,0
美国当选总统特朗普交接团队顾问，叶望辉与本月6日起访问台湾。连日来，叶望辉在多个场合提到，台湾应当主动向美国提出购买武器的项目，包括此前美国政府拒绝出售的先进武器。不过叶望辉的这番表态显然无法代表特朗普新政府的官方态度。...展开全文c,0,特朗普顾问访台呼吁台湾主动提出先进武器项目,,0
1）联合国为周恩来去世降半旗是例行公事；2）邓小平与菲律宾总统没有关于南海的对话；3）西点军校没有人学雷锋；4）飞夺泸定桥是虚构的；5）黄继光堵不住机枪眼；6）邱少云被火烧之前已被燃烧弹击中身亡；7）赖宁没有救火，围观时眼镜掉了迷路烧死的；8）雷锋的照片大多是事后摆拍的。,1,,,1
传说地雷战让日军闻风丧胆，令八路军威名远播！事实却是9个日军在山东海阳驻扎8年，管理全县，日本投降后全部安全回国。2000多次的地雷战，基本是晚上埋地雷，白天挖出来，总共炸死了三个伪军和2000多农民。每次爆炸后警察来破案，英勇无比的八路就逃得无影无踪。——92岁老人张铁回忆录,1,狗屁地雷战,,1
近日美国军舰在台湾海峡航行，中国驻美国大使公使李克新发言说：美国军舰抵达高雄之日，就是我解放军武力统一台湾之时！风之子FC的微博视频,1,,,1
水到屁股位置了，官方说“应该还是原来的试卷。”还用原来试卷合理吗？现在信息这么发达！除非不是全国统考。北京·国贸CBD,1,,#安徽歙县因暴雨高考语文延期#,1
“可歌可泣”的是王同学投案自首之后冷冷说了一句话是“我并不后悔。是他们不让我依靠自力生存！！！！！！”微评：认真读图文字，不要说话！,1,,,0
良心大叔因怒斥幼儿园意外走红：300个孩子3斤肉，这饭我没法做这样的大叔来多点吧,1,,,1
"“考研大军”、”国考大军“、”就业大军""，童鞋们，你们是哪个阵营的？无论选择哪条路都没关系，转发收藏此图，最后几个月就按这个节奏前行！所有在校生都值得参考的日历↓↓↓祝福，转给你身边的毕业生吧！加油！（央视新闻）",0,[话筒]在校生必看：2016届高校毕业生就业月历[耶],,0
眼看就要高考了，预祝各位学子高考顺利！另外有人捡到准考证，有认识的麻烦通知一下：姓名：白娅倩、考点：普宁一中、考场：013、座号：11、准考证号：204101311。联系电话：15935078941。麻烦各位转发一下！普宁论坛2揭阳·普宁万泰汇广场,1,,,1
据说新华字典的最新修正版中，地壳qiao改为地壳ke，阿e房pang宫改为阿a房fang宫，心宽体胖pan改为心宽体胖pang。。。好吧，主页君表示高中白学了,1,,,1
1.现在睡觉的话，会做梦；而现在学习的话，会让梦实现。2.我无所事事的度过了今天，是昨天死去的人们所期望的明天。3.学习不是人生的全部，但学习都征服不了，那你还能做什么？4.今天不想走，明天就要跑了。5.此刻睡觉的口水将变成明天流下的泪水。,1,哈佛大学图书馆馆训,,0
11月22日晚，山西武乡县职业中学部分学生出现腹痛、呕吐等症状，疑似食物中毒，先后有20名学生住院治疗，50余名学生留院观察。事件发生后，武乡职中及时组织排查，县政府分管领导带领县教科、卫计、食药监等部门和医护人员迅速开展调查...展开全文c,0,武乡职中学生疑食物中毒多人住院治疗,#太原新闻#,0
现在学生发育早，挑衅老师表情屌。少家教是必须的，揪着老师头发跑。秒拍视频.,0,,,1
香港大学学生会在??刊登全页广告标题为“致香港人：愿我们以生命回报自由”。,0,,#香港#,1
“出淤泥而不染，濯清涟而不妖…”、“寄蜉蝣于天地，渺沧海之一粟…”这些耳熟能详的名句，后面是什么内容？、、、、…那些年烂熟于心的经典，他们的作者是谁？你还能背出几篇？转起重温！,0,那些年我们背过的经典古文[微风],#全民阅读周#,0
或许你只是对“正义”有误解?孕妇刺Ytt发的博文中常见“正义”两个字。“正义”代表人类社会普遍认为的崇高的价值，主要指的就是具有公正性、合理性的观点，对政治、法律、道德等领域中的是非、善恶作出的肯定判断。而法律是实现正义的重要手段，正义的最低要求是限制任意暴力。“正义”的反义展开全文c,0,,,0
学信网挺有意思的，在这个时间点更新了一个巨“人性化”的功能：需要自己手动输入自己上过学校才能进入系统查询自己的真实学历信息。我可以认为这是在故意给查询学历信息增加难度吗？是在故意阻拦有一部分人查询自己的真实学历信息吗？是在。。。。。。,1,,#苟晶反映被冒名顶替问题正调查#,0
完全没有见过如此的培训机构，那就是中安专升本，它居然交过钱之后，就不问事了，问老师什么时候开学，什么时候签协议，压根不回复人家，气死人了简直！,0,,,0
3月28号，四川师范大学发生了一起命案。4月15日这个案件被公布了，受害者在寝室唱歌，因为吵到室友，随后发生争执。第二天室友买了一把菜刀，等到宿舍熄灯后，室友约他去自习室，随后拿刀乱砍，医院鉴定死者为头颈离断伤致死。太可怕了···...展开全文c,0,四川师范大学在寝室唱歌引室友不满遭砍头,#每日警示#,0
盐城中学出事了，8个男生强奸一个女生还杀了这女生，这是真实的事，视频是昨天的，这些孩子怎么了啊，如此这般的凶残网页链接,1,,#盐城中学#,1
网传开封市某小学一体育老师经常虐打男生，乱摸女生，还威胁学生不准告诉家长，家长知道后非常生气。,1,,,1
学生举报学校雾霾天上课反遭告发陕西官方：教育局干部泄密|学生举报学...以前环保官员遮挡探测器也是在西安，警察“白队长”扣押殴打来抓贼的外地警察也是在西安，为什么乱像这么多？当地的官员出了什么问题？,0,,,0
无人核电推进模块、通用地外天体登陆器、人工重力生活区…令人费解的词汇在“学霸”笔下竟变成一幅幅航天器设计图。南京航空航天大学大一新生丛天舒，利用课余时间绘制这些航天器设计图，“是兴趣，也是梦想”！“学霸”的世界，你看懂了吗？(央视记者徐大为),0,不明觉厉！“学霸”手绘航天器设计图,,0
调查显示，韩国成年人年平均阅读量为9.2本，是中国的两倍，但与日本的18本、美国的25本有很大差距。因此韩国把全民阅读作为重要的国家战略，采取多种措施大力推广全民阅读活动。,0,韩国人均读书9本仍觉不足大力推行全民阅读,#我们读书吧#,0
今天，一份小朋友的简历在微博上流传开来，简历上的小朋友出生于2013年5月，这份简历是投给上海的一所国际学校，制作得非常精美，里面的内容，也让不少网友惊直呼：输在了起跑线上！这份简历是真的吗？你对这类简历怎么看？展开全文c,0,这份五岁小朋友的简历今天刷屏了！孩子的差距是父母的差距？,,1
感谢室友不杀之恩，某大学学生因室友玩魔兽世界不会躲火将其砍死那么问题来了到底是哪个boss呢,1,,,0
夭折的厦门大学准大一新生！被掉包的高考成绩！！让我们帮她讨个公道！,1,,,1
明明有盖着公章的通知书，学校怎么说没招过？10日，河南农业大学办公楼前聚集了数百名学生“讨说法”。学校称自己也是受害者：该校经管学院与一家培训机构签过专升本自学考试协议，但对方私刻学院公章违规招生收费，非法录取近300名学生。网页链接,0,300新生持“假录取通知书”报到,,0
谁说大学没文化？山东大学齐鲁医院开大会，打个字居然能把“抗疫”打成“抗议”。,1,,,0
昨天北师大两个学生因为一支牙膏的一点牙膏，引发了一场颠覆社会的捅刀事件。小小的私人恩怨，加上用了一点牙膏这导火索，最终酿成这个惨剧。被捅的童鞋住进了中大五院，脱离生命危险。希望这个同学快点康复！详情O网页链接via珠海为伍,1,多谢宿友不杀之恩,#北师大---一支牙膏引起的血案#,1
?转发:帮忙转一下，一名北京三中的学生，叫谢露，13岁，消失几天了，他爸爸的号码是18611098634，或者18210183168，爱心接力，好友们都帮她忙转下，必有好报。转发,1,,,1
河北大学放大招了！同班男女同学可住同一寝室。。(图片来源于网络),1,,,1
高考滿分作文分享：湛江市第一中学，伍广德，男，保送清华大学，高考，全国唯一一个满分作文。写酒，但整篇文章没有一个酒字，却把酒描写得出神入化，倾倒了全部阅卷官，一致给了满分。全文如下，供各位鉴赏。液体之火让你若梦若醒飘飘欲...,1,,,1
朋友捡到粗心小朋友的高考准考证，谁认识通知下，别耽误了高考大事。白娅倩考点市一中考场013座号11准考证号204101311／请大家帮忙互相转发，别耽误了孩子高考！联系电话138-3046-8131转发一下（上海的考生）达人东方体育日报我在:,1,,,1
全国政协委员王平建向党中央建议：取消录取农村小孩上大学资格，不鼓励农村小孩上大学。其认为农村孩子身上有很多坏毛病，农村孩子上大学，城市孩子会被影响，这样城市孩子也变坏！中央必须采取行政手段禁止农村小孩上大学…农村人身上的很多坏毛病，任何一个有文化城里人都忍受不了薛蛮子,1,惊！,,1
据网友爆料：暴雨中来自武汉高校的温暖：中南财经政法大学的老师开着皮划艇，给困在宿舍的同学送去午餐，同学们都非常感动！,0,武汉暴雨导致无法出行！高校老师老师开皮划艇给学生送午餐,#武汉身边事#,1
今天，四六级开考！请再次检查：准考证、身份证、学生证、2B铅笔、黑色签字笔……带上实力，带上信心，带上笑容。为一次过，加油！,0,迎战四六级，必过！[撒花],,1
今天发布，这些变化你该知道：试点自学直考，某些驾照可不去驾校学；约考不再依赖驾校，可自主选择考试时间和考场；驾校不再一次性预收全部培训费…更多↓转给考驾照的TA!公安部交通安全微发布,0,[话筒]驾考新规！以后学车可不去驾校,#驾考改革#,0
12月8日，位于甘肃张掖市的河西学院医学院发生教师吕某让学生互扇耳光的事件。据报道，事件发生后，学院管理层和吕某向涉事班级学生鞠躬道歉，校方对吕某予以解聘，吕某班主任及授课职务由其他人接替，不会调查视频拍摄者身份及追究其...展开全文c,0,央视采访：校方表示加强教育涉事教师后悔自责,#让学生互扇耳光#,0
山东潍坊高新区开心苗苗幼儿园老师殴打小朋友！via读书与健身不可辜负秒拍视频,0,,#吐槽曝料#,0
今年转发丢失准考证消息的少了很多，但是还是在某个群看到了！,1,,#2020高考#,1
美国高二的数学...请用一句话概况你的感受！?推荐关注笑死偶了,1,,,1
山东专升本超话小班面授？保过班协议班？钻石班协议班？租赁环境差的专科学校办学？没有独立校区？压中80%的题？某老师是出题人？某老师是阅卷人？跟教育厅有关系？考前给真题给答案？？,0,专升本机构的坑让我一一破解,,0
"11月10日早上，15岁男童云博因心脏骤停在课堂突然昏迷,抢救无效死亡。而头天晚上他写作业写到12点多,早上6:20起床。父亲写道：爸爸深深忏悔，每天睡眠那么少，还无形中增加你的学习压力……,爸爸知道你累了,从此再也没有压力了。",0,河南南阳15岁学生猝死课堂父亲发文追思,,0
一位自称参加过高考阅卷的教师，近日发帖揭露阅卷中不为人知的内幕真相！如果所述是真，我们不禁惊讶于如此重要的、决定一个学生前途命运的考试，分数竟然在这样的粗放流程中产生！到底有多少学生，是这样被耽误的？？求更多亲历者说法！,1,高考阅卷老师冒死揭露内幕？！,,1
有人问：怎么不设管理员？校长：6人一年30万工资，只要丢书不超30万就值；偷书是受教育不够，多看书多受教育，偷拿过书也会放回书架。年终盘点，原来10万册书变成了10万6千册。不教而诛谓之虐，为什么总有人说中国人素质低？,1,宁波一中学图书馆无门无管理员馆名叫“信任”,,1
14日，网传有教师对自己性骚扰。据该女生爆料，她在吃饭的时候被灌酒，饭后去KTV开始拉着她的手，“右手伸进我衣服里”，又从侧面摸向胸部……对此吉林农业科技学院团委官微回应调查工作正在进行中。学校将及时向社会公布处理结果。,0,女学生举报吉林农业科技学院老师性骚扰,#女学生实名举报性骚扰#,0
"除了双膝跪倒，普通中国人还能怎么办？——为了保住学校，学生家长已经坚持了四天——浙江省缙云县大洋镇中心学校，被纳入“撤并”对象，五六百初中生适龄学童，需走六七十里路求学。记者采访车刚开到现场,村民就跪倒一片——大洋村村民已经坚持四天了。多转发一次就多份希望！头条新闻刘春",1,,,1
高考结束1个月。让大家开心开心。今年新高一的，以后都得考全国卷了，而且不分文理了，九科而已，祝你们幸福！新高二的，会考加大难度和监考难度，会考成绩计入高考总分，祝你们幸福！新高三的，体育加入高考总分，保重。,1,,,1
昨日在江苏人民政府门前，大批警察强行驱散聚集的家长。一家长表示：“就是我们支援了这些名额，这些孩子本来教育水平不高，到好学校未必跟得上，而江苏成绩相对好的孩子可能就要上一般的本科。为什么不从基础教育开始抓起？”,0,江苏家长:就算名额给西部学生毕业后也不会回去,,1
南京某小学学生向当地教育局长写信，请求不要取消秋游，信中用“晴天霹雳”、“气疯掉了”表达秋游渴望。当地表示，近期南京电梯事故致16名秋游小学生受伤，教育局并未取消秋游，目前正完善安全措施，将尽快恢复学生秋游。（中国江苏网）,0,小学生致信教育局长：不要取消秋游,,0
请问暨南大学该邀请是否真实的？如果是，暨南大学是在邀请敌视中国宗教政策的人，这是公然和中国政府唱反调。突破了言论自由底线，突破了国家法律的底线。微型公众号“大鹰”和“大汉之鹰”将做深入跟踪报道。,0,@暨南大学到底为谁张目？,,0
"12月9日,儋州市和庆镇516县道和庆往和岭农场方向2公里处一辆卡车侧翻，卡车液化天然气动力气罐发生泄漏，无人员被困。儋州消防出动紧急救援，联合当地中石化公司2名企业专家成功处置险情。",0,卡车侧翻天然气动力罐泄漏消防联合企业专家成功处置,,0
埃航黑匣子找到视频惨啦??太原气球气象的秒拍视频,1,,,1
