content,label,title,subtitle,category
7月25日，贵州榕江县长、公安局长带领武警、特警等400余人，到车江乡某村非法征地，不料千名村民操起镰刀、锄头、粪桶对抗，县长被妇女们泼满大粪，不少武警也变得臭不可闻。现场杀声震天，犹如未日星球大战！,1,县长领兵来征地，逐被村妇猛泼粪,,军事
据人民日报：①据法国电视台BFMTV报道，枪手喊出了“为了叙利亚”话语。据目击者称，开枪前枪手高喊了“真主伟大”。②据CNN，其中一名被捕枪手称自己和其他3人来自叙利亚。目前还没有组织声称要对此事件负责。新浪新闻正播报最新情况：,0,袭击者高喊“真主伟大”“为了叙利亚”,,军事
"事实上我昨天晚上才做了一个梦，梦到一个关于""老天自有安排""之类的。今天就听说南坪宏声广场发生枪案，士兵都包围起来了。于是我现在也只能说,""老天自有安排"".淡定!",1,,,军事
高军:军区副司令很牛逼，儿子在境外药迷性侵女士！老沉,1,,,军事
上世纪30年代末，由于纳粹德国迫害，近3万犹太难民来到上海，受到中国人民的同情和帮助。犹太难民伊芙琳对此充满感激，“中国人对我们非常友好。我知道中国人在战争中比犹太人受压迫得更厉害，但你们依然尽全力帮助我们。”,0,二战犹太难民：那个年代，中国人被压迫，还在帮我们,,军事
通过这个，可以推测MH370是被越南空军击落的，残骸目前应该在越南领海。理一下脉络：MH370中途发现电子故障，准备返航，结果误入越南领空，越南空军喊话，但对方电子故障无法应答，于是向三亚空管核实，对方回复没有这个航班，结果越南空军将其击落，后发现酿成大错，频繁发布假消息扰乱视听。,1,,,军事
一叙利亚民兵组织发布一则“伪斩首”视频。视频中，民兵对IS士兵表示要“行刑”，但最后却放下枪。随后，身穿伊斯兰教袍的伊玛目来到战俘面前教诲：“这不是我们的政策，真正的穆斯林不是魔鬼”。,0,叙民兵组织枪毙IS战俘时收手,,军事
今年我也是蛮拼的，上半年去的中途岛号航母，下半年去的珍珠港。但很遗憾，在珍珠港没能登上密苏里号战舰。理由竟是拒绝中国人参观！那是一个美国人纪念烈士的地方，曾经多个中国旅行团在里面说说笑笑。多次警告无效，只好取消了中国人参观资格。几时中国人能安静下来？学会聆听，学会感受，学会静修,1,,,军事
飞机失联，美国得知消息四个小时之后就出动了军事力量，今天美国国防部又宣布派出平克尼号驱逐舰和一架P-3C猎户座侦察机帮助搜救马航失联客机。可中国呢，至今没有空军海军参与救援的消息。而且连新闻报道都少得可怜。要知道飞机上坐着154名活生生的中国人啊，而美国人只有三个。悲哀，真TMD悲哀。,1,,,军事
路透社刚刚消息称，当地时间21日，美国商务部公布了一份所谓“与军方有关联”的中国、俄罗斯实体清单，并将限制其购买一系列美国商品和技术。报道称，这份清单提到了103个实体，其中包括45家俄罗斯实体和58家中国实体...全文,0,对中俄捆绑打压！#美商务部公布所谓与军方有关联实体清单#，103家中俄实体在列,#美商务部公布所谓与军方有关联实体清单#,军事
陈一发儿在直播中拿中华民族的伤痕调侃南京大屠杀，在直播中嬉皮笑脸的唱了东三省不保啦，鸦片战争啦，南京大屠杀啦，日本刀好快啊...网友翻到她以前微博也有发一些过激言论，作为千万粉丝的主播这样真的好吗？,0,,,军事
据最新消息，中美贸易战停火！止战！威海·幸福广场,1,,,军事
美国的潜艇和俄罗斯的核潜艇在阿拉斯加发生了冲突,1,,,军事
习近平今天中午抵达伊斯兰堡，开始对巴基斯坦进行国事访问。在习近平所乘的波音747专机进入巴基斯坦领空后，巴方出动枭龙战机编队护航。详见：,0,巴基斯坦枭龙战机为习近平护航,,军事
2608，一名巴勒斯坦自杀炸弹手在进行恐怖攻击时，被以色列士兵即时射杀，回教徒在取回他的尸体后，就迫不急待的利用死者的尸体进行示威抗议，可是却没有把杀手身上的爆炸装置除掉，结果就发生了。。。。。。,1,,,军事
哎死人就死人砸坏花花草草多不好,0,,#台湾新竹空军基地内直升机坠落#,军事
据韩联社消息，韩国海军今日下午2时46分许，向越过半岛西部海域北方界线(NLL)的中国渔船进行了示警射击。报道称遭射击的中国渔船是渔政船。,0,韩军向中国渔船射击称其侵犯领海,#突发#,军事
這就是強國法律!李雙江之子李天一強姦罪被拘捕。李的76人律師團領隊、法律大學副校長張愛國教授對媒體表示，李天一因是第一個與被害女子發生關係，所以不構成輪姦罪，只是以判罰較輕的強姦罪批捕，這是律師團所有成員共同努力的結果在強國輪姦都要第一個上！-原文地址：O网页链接,1,,,军事
九一八事变发生后，9月19日凌晨一点张学良不向蒋介石报告；直接下达不抵抗命令。12月21日，日本关东军进攻锦州，蒋介石多次电令张学良抵抗，坚守锦州。为国民政府解决九一八事变争取时间。但张学良却再次下达不抵抗命令，东北彻底丢失！,1,,#香港唯一抗日烈士纪念碑遭破坏#,军事
O网页链接对ISIS残害人质特别是美国人质的暴行，奥巴马总统誓言将其绳之以法，本周三已向国会正式提案，通过海豹（SEAL）突击队实施地面斩首，为了避免滥杀无辜，美军通过高新技术识别普通人与持枪目标的差别，对ISIS极端分子夜间空对地精准打击，看视频，目标无处藏身，一个个被定点清除。,1,,,军事
一、零下27度泅水渡河，听党指挥的军队真威武。二、刚出版的2013新华字典“自”释义中已无“自由”这个词。,1,今天知道了两个事情,,军事
灾后四天才到潮南救灾的人民解放军部队，真他妈是生意人！受灾民众说，武警救灾，每人要200元，不给钱不救援宁愿闲坐，汽艇也不借人！更可笑是，部队救援物资要用钱买。PS：难怪你们说多难兴邦啊！国难发财via潮汕大县令惠来微博潮汕之窗汕头市政府应急办汕头市潮南区星辉影院林健锋,1,,,军事
北京消息：双方已达成和解意向！因李未满18，且当时已醉酒！经李天一及其4名嫌疑人家长奔走，最终联系上女孩父母，并进行“长谈”！受害人最终得到极大的物质补偿：落实北京户口、工作、一套房产！真的吗？权钱再次战胜法律？,1,峰回路转！李天一案受害人撤销控诉！,,军事
"抗战时国军一新兵的枪被同伴收起来了。他以为枪没了,吓了一身冷汗。于是趁天黑摸到鬼子的阵地干死几个鬼子拿了3支步枪和一挺机枪就往回跑,在回跑的过程中竟然还击毙了8名日本鬼子。他这次私下行动一共打伤打死23名鬼子,简直就是奇迹。后来被授予青天白日奖章,此人乃中国特种兵的始祖。转",1,中国特种兵,,军事
1938年，袁国平赴皖南与叶挺、项英一起指挥新四军深入敌后游击作战。期间他写家书：“愿以最后一滴血贡献于国家民族”。1941年“皖南事变”，袁国平为不连累战友突围，饮弹自尽、壮烈牺牲。重读抗战家书，向英雄致敬：,0,今天，来重读这位英雄的#抗战家书#,#抗战家书#,军事
真的开火了!!五星红旗首战领先!!,1,,#钓鱼岛#,军事
白岩松究竟想干嘛？----挺你！一定挺你！！,1,,,教育考试
此女孩名叫刘海燕20岁，湖南常德人以698分考入美国哈佛大学，美国举行全国学术论坛，以第一名夺冠回国师姐的日常的秒拍视频,1,,,教育考试
目前针对袭击伤害小学、幼儿园案件的增多，某幼儿园打出的横幅：“冤有头、债有主，前面右转是政府”。,1,,,教育考试
自信阳教育部门严禁，各县区严格保证中小学寒假放假时间，统一安排放假、开学时间，不得随意变更，的信息发出后。得到多名学生集体短信电话反应学校未遵守教育部门的要求！希望教育部门督促各校，...展开全文c,0,多名信阳高中学生集体反应信阳各高中学校未重视《信阳市教育局要求严禁假期补课要求》,#信阳身边事#,教育考试
帮忙转一下，一名北京三中的学生，叫谢露，13岁，消失几天了，他爸爸的号码是186-1109-8634，或者182-1018-3168，爱心接力，我的好友们都帮她忙转下，必有好报！！！,1,,,教育考试
中美不同的教育方式的结果是：教育进展国际评估组织的调查显示，在21个被调查国家中，中国孩子的计算能力排名第一，想象力排名倒数第一，创造力排名倒数第五。此外，在中国的中小学生中，认为自己有好奇心和想象力的只占4.7%，而希望培养想象力和创造力的只占14.9%。,1,,,教育考试
或许你只是对“正义”有误解?孕妇刺Ytt发的博文中常见“正义”两个字。“正义”代表人类社会普遍认为的崇高的价值，主要指的就是具有公正性、合理性的观点，对政治、法律、道德等领域中的是非、善恶作出的肯定判断。而法律是实现正义的重要手段，正义的最低要求是限制任意暴力。“正义”的反义展开全文c,0,,,教育考试
12月17号凌晨一点左右，在济南新泺大街齐鲁师范学院高新校区3号楼402女宿舍内发生一起三个女生对一个女生实施暴力打架事件，导致该女生裸体坠楼身亡!女孩坠楼时一丝不挂，尸体满身伤痕淤青，脖子也有掐痕。事发当晚楼道内有大声...展开全文c,0,震惊!济南高校一女大学生裸体坠楼身亡，尸体满身伤痕淤青,,教育考试
7岁幼女遭班主任强奸，下体大出血，躺在手术床上，疼痛呼喊，嘶声裂肺！究竟是什么样的国家，才能培养出如此万恶的畜生！这名畜生老师不枪毙，教育还有救吗？幼女的哭喊声，是对这个社会的控诉！O网页链接,1,7岁幼女遭老师强奸大出血,,教育考试
足球巨星罗纳尔多今天在京表示，计划未来两年在中国开办30所国际足球学校。学校将为贫困儿童打开足球圆梦之门，提供免费学习机会。他表示，希望自己的足球学校能为中国问鼎世界杯做出贡献。跟着巨星学足球，酷酷哒！(央视记者李墨白),0,[围观]“外星人”拟在中国办30所足球学校：希望中国问鼎世界杯,,教育考试
完全没有见过如此的培训机构，那就是中安专升本，它居然交过钱之后，就不问事了，问老师什么时候开学，什么时候签协议，压根不回复人家，气死人了简直！,0,,,教育考试
德国女孩萨布瑞亚，12岁失明。但她不懈努力，考入波恩大学，毕业后她来到西藏拉萨，发现拉萨有1万多名盲人，于是她发明藏盲文，创立西藏第一所盲人学校，也是拉萨唯一的盲童学校，让孩子们免费接受教育……图片中的微笑天使让我们感到羞愧，GDP第二，公款消费数千亿，却将失明的孩子，丢给了她。,1,,,教育考试
广州贵族学校外教老师学生客厅上演该老师被学校开除，目前已回到英国,1,,#欧美爱情动作片#,教育考试
湖北武汉，市少先队总队长、“五道杠”黄艺博小朋友如同一道炫目闪电，轰动全国，绝非偶然。4月1日，武汉建乐村小学，“小小交警队”同学们穿着标准交警制服，整齐列队，敬礼迎接乘坐本田轿车的某领导到校视察。培养奴才，为领导服务，武汉从孩子就抓起了~乐活武汉武汉同城会武汉校园三镇武汉,1,,,教育考试
有个北邮同学因为翻墙次数过多被学校网络中心追踪并抓住，系统自动给他发了个喝茶通知！北邮网络中心不愧是高校中的战斗机！大学生讲坛隆裕太后左小祖咒,1,,,教育考试
"近日，长沙望城第一中学教师严文鸳收到名为""啊哈""的网友微信加好友请求，这个""陌生""好友先问他是否还在望城一中任教，随即转账5000元，备注""若有贫困学生，请资助""。对方称自己曾是""差生""，感恩严老师多年前的帮助。一手Video的秒拍视频",0,,,教育考试
浙江师友通报，在台州黄岩区院桥中学，初二某男本周因琐事纠纷，持刀将三个初三学生捅死，省委宣传部封锁媒体，不准报道，该中学有恃无恐，不但不疏导学生情绪，反而控制和威胁学生。请问宣传部等，追问教育危机难道不比粉饰盛世门面继续唱赞歌更重要？掩盖真相就能维稳到底？,1,维稳机制保怪胎,,教育考试
江湖刀姐：全国政协委员王平建向党中央建议：取消录取农村小孩上大学资格，不鼓励农村小孩上大学。其认为农村孩子身上有很多坏毛病，农村孩子上大学，城市孩子会被影响，这样城市孩子也变坏！中央必须采取行政手段禁止农村小孩上大学…农村人身上的很多坏毛病，任何一个有文化的城里人都忍受不了！,1,,,教育考试
近日，网曝福建宁德一特殊教育学校女老师殴打残疾学生。据宁德市教育局，视频情况基本属实，事因孩子吃零食未打扫，不听从新任老师的管教，还欲打老师，老师后来情绪失控，双方发生争执，接下来会对老师严肃处理，目前还在调查中。,0,官方回应#老师殴打残疾学生起因#：学生吃零食未打扫，双方发生争执[吃惊],#老师殴打残疾学生起因#,教育考试
调查显示，韩国成年人年平均阅读量为9.2本，是中国的两倍，但与日本的18本、美国的25本有很大差距。因此韩国把全民阅读作为重要的国家战略，采取多种措施大力推广全民阅读活动。,0,韩国人均读书9本仍觉不足大力推行全民阅读,#我们读书吧#,教育考试
明世教育机构专升本是骗子机构大家千万不要上当他们用字眼协议套路你贷款上课不给退款前期给你误导宣传,0,,,教育考试
老外的汉语“四六级”听力，这难度，我也是醉了！,0,,,教育考试
全国政协委员王平建向党中央建议：取消录取农村小孩上大学资格，不鼓励农村孩子上大学。其认为农村孩子身上有很多坏毛病，农村孩子上大学，城市孩子会被影响，这样城市的孩子会变坏！中央必须采取行政手段禁止农村孩子上大学；农村人身上很多坏毛病，任何一个有文化城里人都忍受不了。,1,委员如此无德,,教育考试
"朋友们，我们也想不到这样的事会发生在自己朋友身上，高考分数真的被掉包了，却查找不出原因，现在只求大家看到能够帮忙转发。还一个公道！！！各界好心人士：本人杨婷婷，惠安一中2013年高考文科考生，考生号13350521110113,准考证号152101101.现向各界正义爱心人士说说本人高考",1,,,教育考试
"猫仔大丹在高三:春节后继续，谢谢。你也可以寄给这里：甘孜藏族自治州石渠县长沙贡马乡小学，邮编627350,校长达洼收18923491809//猫仔大丹在高三:请问下现在还收吗？//兰秦:捐钱我们不收的，谢谢你瘋瘋瘋雙小:回复Q-apple的妈妈专用:可以呢··捐给我嘛你钱发涨么···",1,,,教育考试
网传开封市某小学一体育老师经常虐打男生，乱摸女生，还威胁学生不准告诉家长，家长知道后非常生气。,1,,,教育考试
朋友捡到粗心小朋友的高考准考证，谁认识通知下，别耽误了高考大事。白娅倩考点市一中考场013座号11准考证号204101311／请大家帮忙互相转发，别耽误了孩子高考！联系电话138-3046-8131转发一下（上海的考生）达人东方体育日报我在:,1,,,教育考试
今天，四六级开考！请再次检查：准考证、身份证、学生证、2B铅笔、黑色签字笔……带上实力，带上信心，带上笑容。为一次过，加油！,0,迎战四六级，必过！[撒花],,教育考试
作为胡建银这个得发一下高考福建切线公布：本一理工490，文史551；本二理工378，文史446。（更正，见图2、3，最新消息：福建文理科状元都是福建人，并非网传的河北高考移民）,0,,,教育考试
:全国政协委员王平建向党中央建议：取消录取农村小孩上大学资格，不鼓励农村小孩上大学。其认为农村孩子身上有很多坏毛病，农村孩子上大学，城市孩子会被影响，这样城市孩子也变坏！中央必须采取行政手段禁止农村小孩上大学…农村人身上的很多坏毛病，任何一个有文化的城里人都忍受不了历史断片,1,,,教育考试
寻人启示：上海市奉贤区实验小学。张静杰，求转，求帮忙。图片中的三岁多小男孩在世纪家园被人拐走，从监控上看是被一名四十多岁男子拐走，现在大人急疯了，有知情者请告知。万分感谢。联系人张静杰13759695559O网页链接,1,,,教育考试
实拍X大学向“国际学生”发放助学补贴半年/三万！领取人签名都不会～摁手印后拿钱扬长而去！??令国民特别是辍学生情何以堪？！唉……苦??啊北京·三里河尉校八苑西的微博视频,1,,,教育考试
5月31日，江苏如皋市某小学校长袁某因涉嫌多次猥亵多名儿童被警方刑事拘留。袁某是一名从事教育工作几十年的高级教师。他先后以给学生补课、检查作业为借口，将10余名12岁左右的小学生骗至办公室，利用小学生对其畏惧的心理，威胁、诱骗孩子们舔含其生殖器，先后作案50余起。,1,江苏也有个禽兽校长,,教育考试
今天早上，一中考点，一群穿旗袍的妈妈们在门口着实靓丽。网传穿旗袍寓意着孩子“旗开得胜”，看来所传非虚。妈妈们用心良苦呀！加油！高考生！祝你们“旗开得胜”！（供图：梁小姐）,0,郴州一中门口妈妈们穿旗袍祝考生旗开得胜！,#郴州身边事#,教育考试
一位自称参加过高考阅卷的教师，近日发帖揭露阅卷中不为人知的内幕真相！如果所述是真，我们不禁惊讶于如此重要的、决定一个学生前途命运的考试，分数竟然在这样的粗放流程中产生！到底有多少学生，是这样被耽误的？？求更多亲历者说法！,1,高考阅卷老师冒死揭露内幕？！,,教育考试
14日，网传有教师对自己性骚扰。据该女生爆料，她在吃饭的时候被灌酒，饭后去KTV开始拉着她的手，“右手伸进我衣服里”，又从侧面摸向胸部……对此吉林农业科技学院团委官微回应调查工作正在进行中。学校将及时向社会公布处理结果。,0,女学生举报吉林农业科技学院老师性骚扰,#女学生实名举报性骚扰#,教育考试
院长被曝性侵女教师还挑逗性骚扰女学生华电回应（分享自网易新闻）院长被曝性侵女教师还挑逗性骚扰女学生校方回应,0,,,教育考试
据台湾媒体东森新闻云报道，英国一名19岁正妹天资聪颖，超会念书却决定从医学系休学，加入被富人包养的行列。经过一番交涉，这名女大生已经被11名年大龄男性包养，成功赚到珠宝、名牌服饰和昂贵的包包，让她很快乐。,0,英国女高材生为了被包养休学,,教育考试
"“考研大军”、”国考大军“、”就业大军""，童鞋们，你们是哪个阵营的？无论选择哪条路都没关系，转发收藏此图，最后几个月就按这个节奏前行！所有在校生都值得参考的日历↓↓↓祝福，转！加油！",0,[话筒]在校生必看：2016届高校毕业生就业月历,#就业有位来#,教育考试
近日，一则武汉大学辅导员招聘录取公示引起社会热议。录取名单上的新晋辅导员学历清一色为名校硕博士，甚至还有海归的名校博士。讨论中不乏学历贬值、博士“内卷”等声音。博士当辅导员等现象的出现，离不开高学历人才供需结构变化的大背景。此外，对于高学历人才本身...全文,0,#博士当辅导员是屈才吗#？,#博士当辅导员是屈才吗#,教育考试
广西南康中学学生小吴近日反映，学校拆除了“一截”男生宿舍楼，而剩余楼体仍供学生居住。有学生表示“住在楼里每天都在想它会不会塌”。校方称，教学楼改造需留施工通道，只好拆宿舍楼。而记者发现，此举未经报备。学生的安全咋保证？,0,看着就悬！宿舍楼一截被拆，一截住人[衰],,教育考试
前耶鲁大学校长施密德特，近日在耶鲁大学学报上公开撰文全面炮轰中国大学，声言中国大学是人类文明史最大的笑话。他说“经验告诉我们，如果政权是腐败的，那么政府部门、社会机构同样会骇人听闻的腐败”。　他还说“中国这一代教育者不值得尊重，尤其是一些知名的教授。”　O网页链接,1,,,教育考试
