content,label,title,subtitle,category
近期，仍有部分网站、无线客户端、微博和微信公号等新媒体违反相关法律法规，未经许可与授权，擅自转载及新京报网上刊发的版权作品，已涉嫌违法，并严重侵犯了著作权人的合法权益。下列微信公众号未经授权非法转载新京报原创内容。,0,新京报反侵权公告,,财经商业
人贩子故意用刀子把他们的身体划的伤痕累累，从而换取不义之财，他们嫌刀子划的不够狠，还用硫酸烧孩子的身体，痛苦难忍的小女孩用稚嫩的童音哀求着：“叔叔求你别用硫酸了，还是用刀子割吧…”这帮畜生！拐卖妇女儿童应该直接枪毙，如果你不是人贩子你会转，同意转。,1,,,社会生活
生命太短，没留时间给我们每日带着遗憾醒来。所以去爱那些对你好的人，忘掉那些不知珍惜你的人。（晚安）,0,,,文体娱乐
衡阳市湘江西岸风光带石鼓广场附近水域，有垂钓爱好者近日连续发现多具婴儿尸体，有的还附带胎盘。死婴被江水浸泡变形，惨不忍睹，而且臭不可闻，引来苍蝇飞舞。据调查，这些死婴很可能是附近医院引产的死胎，当作医疗垃圾随意丢到湘江。,1,,,社会生活
美国高二的数学...请用一句话概况你的感受！?推荐关注笑死偶了,1,,,教育考试
武汉官员洪水中坐轿，在水中被五个男青年护送前行，领导自己撑伞避雨。冰哥认为，在武汉遭遇特大暴雨袭击的情况下，有关方面能够想官员之所想、急官员之所急，及时为领导准备四人大轿供其乘坐，确保万无一湿，彰显政治敏锐性。领导自行撑伞，觉悟大增，现一并通报表扬。(图来自小丑出品),1,通报表扬,,政治
刚看完吴彦祖主演的美剧第一集.....总结就是：剧情soso，看脸就好~~~~~给了蛋妞N多特写镜头~,0,,,文体娱乐
将于本周五公布的美国4月份官方失业率数据可能大大低估了新冠病毒大流行对劳动力市场造成的破坏。芝加哥联储经济学家预计，4月份的“U-Cov”失业率将在25.1%至34.6%之间。相比之下，媒体调查的经济学家们预计则为16%。芝加哥联储经济学家：美国4月失业率预计高达34%,0,芝加哥联储经济学家：美国4月失业率预计高达34%,,社会生活
没什么可说的了，自作自受，肺炎是，这个火灾也是，网页链接,1,,,灾难事故
安徽一位医生，在工作中突发疾病去世，而他还在生命的最后一刻，还在叮嘱同事：病人还没有换血,1,,,医药健康
中央电视台在干嘛？新闻联播放经济？天气预报放哈尔滨要降温！！？华南地区在地图上就是万里晴空？非常好?浙江在遭受大灾难么？只字不提么？浙江活该只能自救？哪次全国受灾受难的时候浙江没出手？难道我们浙江已经被划出中国界了？浙江人你们转发起来，记住中央的态度，记住所有无情的人。,1,,,政治
武汉女环卫工怕费鞋赤脚扫积水?每年长4个月冻疮。她叫陈素珍，今年55岁。事实上，几乎凡遇有积水，15年来她都会打赤脚扫，即便在寒风刺骨的冬天，她亦如此。她说，这样“不坏鞋”，而她的鞋，全部都是地摊上买来的二手货，最贵的一双才20块钱......原帖：,0,,,社会生活
程银宝92岁，民国天门县长千金：19岁入国军投身抗日战争，冒枪林弹雨与日军厮杀，后腹部中弹致终身不育。49后因抗日经历屡遭批斗迫害几丧命，晚年住几平米窝棚，无水无电无低保。老人说：我快要死了，只想有件新衣裳，可领导叫我去跟国民党拿！闻者催然泪下,1,最凄凉的抗战女兵,,军事
安理会公开会上，中国常驻联合国副代表王民阐明了中方立场，反对安理会审议朝鲜人权局势，称朝鲜人权局势不构成对国际和平与安全的威胁。详见：,0,中国反对联合国讨论朝鲜人权,#时局#,政治
谁看谁倒霉一年！！！！超级恶搞排行榜,1,,,文体娱乐
如果不知道受的伤是不是“小事”，那么请找专业人士（医生）询问，千万别因为不知道自己不知道而丧命。,0,,,医药健康
被雪人调戏是种什么体验。。。,0,,#轻松一刻#,文体娱乐
一阵阵北风吹来冬日的寒意，于是不少体质弱，抵抗力差的人一出门就流鼻涕，甚至出现轻微的感冒症状。专家称，想要抵御寒冷、预防感冒，不妨从以下6个生活细节入手。天气再冷，你的身体也会棒棒哒！,0,[推荐]寒潮突袭，学学冬季强身六部曲,#健康时间#,医药健康
近日，在北京丰台区，一辆五菱轿车与一辆宝马轿车发生了追尾事故。事故导致五菱的前部面目全非，宝马的后保险杠也因撞击向内凹陷。对此，宝马司机称，当时自己看到了红灯就停车了，但是后方的司机刹不住了！五菱司机也承认：“后...全文,0,#司机着急踩油门追尾前车#：怕后面的车追上我！,#专拍各种奇葩司机#,灾难事故
老户县，新鄠(hu)邑(yi)，蒋村小伙吴建章，此人在武汉感染后逃离回家，被发现后在户县北关医院隔离治疗晚上8点左右又一次逃离。??大家，年都过不好了！一只老鼠坏了一锅汤。一声叹息，一地鸡毛！呼吁：希望大家转发看到此人迅速报警别让病毒再次扩散??????,1,,#西安爆料#,医药健康
爱尔兰瑞尔航空公司今早公布的新LOGO…你们赢了！,1,,,财经商业
这次国考，2.7万个招录名额共吸引近140万人报名，招考人数创历史新高，但是，平均竞争比却是5年来最低。本次国考也被称为史上最严，因实施，出现组织作弊行为将最高获刑7年。,0,“史上最严”国考：组织作弊最高获刑7年,,教育考试
摸奶节是当地彝族传统文化的庆典，每年“鬼节”，就是农历的7月14日、15日与16日这三天，除了烧纸祭奠“好兄弟”之外，来到镇上的男男女女，只要出现就要遵守“摸奶节”的规定，是男人就高兴地摸，是女人就要愉快地接受被摸。,1,色男无法自拔的彝族摸奶节,,文体娱乐
今日谣言：两个中江红会的人来我这购买了1万多元救灾药品，但要求我们开5万多票。。成都制药一厂。。真实身份：吴斌。。家住什邡方亭镇中心大街西段67号。。（废话皆省去）——1、早就没啥制药一厂这是九十年代改制前称呼，现在叫成都第一制药有限公司2、邡市方亭镇中心大街西段67号是两家工厂无住宅区,1,,,政治
证监会对熊模昌、吴国荣操纵华平信息技术股份有限公司（以下简称华平股份）股票价格的行为进行了立案调查、审理，其行为构成操纵证券市场的行为，且存在未履行发出收购要约义务、虚假减持行为，对熊模昌给予警告，合计处以205万元罚款，对...全文,0,庄家控制196个证券账户操纵这只股票，亏逾3亿元，罚单到了,,财经商业
因为实在看不下去了，我们不能再沉默了，所以就把在微信圈里看到朋友曝光的这条消息贴在这里了。曝光人留有真实姓名和住址，可见其对中国红字会的可恨程度！乱世还需重典，习大大该看看！！！强烈要求转发，大家看看吧！！！今天又有两个中江县红十字会的人来我们这里购买了1万,1,,,政治
为什么中国外交部给人的感觉永远都是如此软弱？！交涉！交涉！这个词在中国对外已经用烂掉了！！！！！第一次去法国时，或许因为还小，对这个国家对巴黎充满了好感，但今年去后给我的感觉截然不同！脏、乱、差，似乎挖掘不到一丝好感！恶性的法国警察，随手剥夺华人的生命，丧心...展开全文c,0,,#华人遭法国警察枪杀#,政治
武汉领导穿越了吗？？恢复四人大轿！！！,1,,,政治
“问：小明住院了，朋友去看他，医生也在场。他们聊了一会，朋友就离开了，可医生也跟着朋友走了，为什么？”~~~这是今年看到的最冷的冷笑话~~感觉冷的转~,0,,,文体娱乐
睡觉前一定要先去上个厕所，就算几分钟前已经去过厕所了，已经躺在床上玩手机，那一会睡觉还要再去一趟，否则会陷入要不要去厕所的纠结中，然后才开始酝酿尿意，然后时间过去很久，最终还是起身去厕所。。你是不是也有这种强迫症。。。我不是故意在这个时候放这个图。。。,0,,,医药健康
科学研究：从健康男子收集精液样本，把其放在接收Wi-Fi上网的计算机旁4小时后发现，精液竟然「熟」了部分更出现DNA受损的情况。无线上网期间散发的电磁辐射正是「杀精」的元凶！男士们注意了…珍爱生命，远离Wi-Fi！,1,Wi-Fi杀精于无形精子DNA受损严重,,医药健康
据台湾媒体报道，今日（16日）下午，台军方新竹空军基地内一架直升机突然坠落起火。新竹市消防局在下午3时28分接到报案后，立即派遣多个消防支队出勤救援。据先期抵达的消防人员回报，目前现场状况不明，暂时无法确定有无人员受困或受伤。,0,,,军事
双11还有不到7个小时，为了方便大家选购小米产品，我们整理了一份小米双11优（duo）惠（shou）清单，看看哪个小米产品值得买，请大家帮转。明天中午12点我抽奖送出一台红米Note2移动版。红米手机,0,,,财经商业
英国调查发现，开车发短信的司机反应时间比正常情况慢35%，而酒驾反应时间慢21%，毒驾反应慢21%，开车用手机比酒驾毒驾还危险！演员段奕宏号召：从现在做起，在路上坚决不做“低头族”，拒绝危险驾驶！支持的转！,0,段奕宏：路上坚决不做“低头族”,#安全文明出行#,医药健康
华为德国新建网站以应对被禁后出现的谣言影响。被美国列入“实体名单”之后，华为的客户及合作商开始忧心忡忡，有的甚至已经停止与华为的合作；不仅如此，越来越多的不实消息开始在媒体间传播。针对这些谣言网页链接,0,,,财经商业
河南焦作，一女孩被陌生男子搂抱，17岁同行男生小王出手解困，与对方发生冲突。男子鼻子被打骨折，小王因涉嫌故意伤害被批捕，已被羁押近1个月。律师表示，小王应属正当防卫。当地检...全文,0,#17岁男生反击猥亵少女者被捕#：猥亵者鼻子骨折，男生已被羁押近1个月,#17岁男生反击猥亵少女者被捕#,社会生活
女子拒绝强奸，被判刑三年，这事儿值得深思，那么女子的在遇到危险时该怎样，是顺从还是拒绝？,1,,,社会生活
衡水中学的英语作业～刚开始猛地一看我以为是机打,0,,,教育考试
四川大凉山悬崖村修建了一条举世闻名的天路，据说投资6.3亿建2556级钢梯台阶，这条天路，彻底结束了悬崖村与世隔绝的历史。信阳故事汇的微博视频,1,,,社会生活
野外“魔鬼周训练”期间，战士们冒雨在泥潭中练习摔擒、搏击、举圆木...近日，武警湖南省总队直属支队组织官兵开展野外训练，旨在锤炼特战硬功，提高恶劣条件下处突反恐作战能力。点图，你愿为英勇的战士们点吗？,0,泥水之中，他们摔擒、搏击、匍匐前行…[赞],#微镜头#,军事
仁义之邦驰援缺粮印度缺粮印度是非多，大度驰援仁义卓。但愿阿三长记性，念恩救命诵佛陀。,1,,,政治
手球比赛由两队各派7名队员参与，包括6名球员及1名守门员，在长方形的球场上互相对抗、互相进攻。比赛目的是尽量将手球射入对方的球门内，每射入一球得1分。另外，是手球而不是手♀球♀啊妹子,0,,#强行科普#,文体娱乐
1994年前后，中美入世谈判最艰难的时刻，美方突然向中方提出：在全世界都实行双休日的今天，中国必须尊重人权，也给中国人双休日，并把这一项作为入世条件之一。于是，1995年5月1日起，我国开始实行双休日工作制。我们到底应该感谢谁？,1,是谁给了中国人双休日,,政治
她，没有编制，没有财政拨款，没有固定办公场所，靠一人之力，扛反腐重任，已拿下11位厅级贪官，还有近20位即将归案，战斗力远超地市级检察院。——记年度“全国反腐创先争优先进个人”赵红霞同志。,1,,,政治
中记载了一个公案：在波罗奈国有个屠夫，名叫广额，每天杀羊无数，后来见到舍利弗尊者，生起信敬之心，在一天一夜之中受持八关斋戒，以此因缘命终之后转生为北方毗沙门天王太子。持戒的功德是如此之大，因此持戒修行之人活着安乐、充实，死后也会更加幸福安宁，所以不枉得个人身。,0,,,文体娱乐
昔阳县政府要求黄亦弟的宏达公司必须挂靠王国瑞的华通路桥，然王国瑞因山西反腐被带走，黄怕风险不愿意挂靠，于是警方带着保安进入宏达作业现场砸车，并将其员工带走。员工称警方关押后刑讯逼供,0,删前必看！山西“关建军黑社会大案”举报人被批捕疑遭“黑打”,,社会生活
他从张家口一路走来，只为找到半年前丢失的儿子。大家看到了一起动动小手一起帮一下忙谢谢大家。大家帮帮他吧，或许奇迹真的会发生孩子爸爸电话17731634303。,1,,,社会生活
1.现在睡觉的话，会做梦；而现在学习的话，会让梦实现。2.我无所事事的度过了今天，是昨天死去的人们所期望的明天。3.学习不是人生的全部，但学习都征服不了，那你还能做什么？4.今天不想走，明天就要跑了。5.此刻睡觉的口水将变成明天流下的泪水。,1,哈佛大学图书馆馆训,,教育考试
以下15种猫咪的行为，背后真正的含义原来是这样！fall_ark,0,,,文体娱乐
这个小女孩是维吾尔族，五岁，骗到广西南宁逼做小偷。好心人们把她从到公安局，她说她老家是阿克苏她很想回家！朋友们多传一下。帮助她早点找到父母！！！谢谢……,1,,,社会生活
如果匹诺曹说“我的鼻子会变长”，那么会发生什么？,0,,,文体娱乐
12月7日晚，杭州一对年轻父母在路边吵架，妈妈竟把仅50天的女儿放在马路上，随后与另一女子乘车离去，但孩子的爸爸也没有将孩子抱起来，而是转身离开。幸亏路人报警，女婴被民警带回了派出所，过了一个多小时，女婴妈妈才急忙赶来。（浙江在线）,0,夫妻俩街头争吵出生50天女婴被丢马路边[伤心],,社会生活
"手机视频:埃塞俄比亚航空坠机事故最后两分钟,乘客手机拍摄视频曝光2019年3广州招聘网络主播网红模特演艺赐的秒拍视频",1,,#埃塞俄比亚客机失事#,灾难事故
不是每个人都愿意陪你经历所有。命里有时终须有，命里无时莫强求，让一切都顺其自然。,0,,,无法确定
此悲剧一般不会发生，但谁能预料？友情提醒，拔掉电源才能接手机通话，几天前，一小伙子在家中给手机充电，就在此时，电话铃响，他沒有拔下充电器便直接听。几秒之后，強大电流通过电源流过手机，年轻人被击倒在地，待父母冲入房間，他已失去意识，心跳微弱，手指烧焦。惨痛教训，请转亲朋好友，重视！,1,,,社会生活
交警口若悬河，引用大量法规不打磕巴，说得违停司机连连认错…最近一段甘肃兰州交警王植玉交警“说教”视频流传网络。被问到为何如此“说教”，王植玉说：“专业是素养，敬业是本分！”（央视记者马凌峰）,0,交警“说教”批评违章50多秒不打磕巴[赞],#安全文明出行#,社会生活
一只救了32条人命的搜救犬牺牲了，同样是生命，为它默哀吧—昨天下午一只军用搜救犬发现一位大爷，它就钻进里面，结果塌陷了，当将其挖出的时候，发现内脏已经砸烂，这只狗狗在这几天已经发现了35名幸存者，有32名获救。听到噩耗，狗的主人李指导像失去孩子父亲般失声痛哭。向我们最忠诚的朋友致敬,1,,,军事
李天一因是第一個強姦女子的人，遂以強姦罪而不是輪姦罪批補，而輪姦罪的判罰比強姦罪重的多。李天一76人龐大律師團表示，這是律師團共衕努力的結果。你們有設麼話說？沙壁老百姓們。,1,,,军事
四川绵竹九龙山的灵官塔，全世界最大的木结构宗教建筑，塔高80米一共15层，造价过亿修了9年，还没来得及一睹芳容，今天一场大火烧成灰烬，实在可惜！??????刘康军的微博视频,1,,,灾难事故
又到年末了，年终总结、各类报告、学期论文......这些“年终惯例”，被你列上日程了吗？写文案不怕，但文案那么长，不会排版怎么办？别急！9图↓↓教你成为排版达人！转给正在和即将为“文案”苦苦奋战的小伙伴们！看图操作，转发收藏！via人民日报,0,实用贴！9图，一次解决排版问题[推荐],,社会生活
中国马路为何修那么宽？斑马线前又为何不见礼让的司机？作者：姚白完|中国人过马...,0,中国人过马路为什么这么难,,社会生活
（转）绿洲郑克强的微博视频,1,真特么缺德,,无法确定
柴静的孩子出生时先天患有肿瘤，她觉得这是北京雾霭的错，但她怀孕和生产的大部分时间是在美国，并没有发现北京的其他孕妇生产的孩子患也有肿瘤，难道雾霭只针对她一个人？据说，柴静是资深老烟枪，17年烟不离手。曾因做小三被当众教训，内容之一就是敢再勾搭我丈夫，就报应你的孩子生病、畸形...,1,,,文体娱乐
你们这样是没有用的来学学真正有效清除小强的方法：,0,,,社会生活
懂英语的自己能看懂，不懂英语的请教一下会懂的！（转）,1,,,无法确定
12月20日，在今天举行的第二届崇礼论坛上，百度创始人、董事长兼CEO李彦宏在演讲时指出，过去十年是“互联网经济”时代，未来十年，“智能经济”将成为中国经济的标签。谈及2022年北京冬奥会，会场将部署经过百度无人驾驶技术改造的无人车。,0,,#智选联通·趣侃冬奥#,财经商业
眼瞅着烂在树上的红枣越来越多，果农一筹莫展。如果您有好的销路，请拨打热线：临县红枣产业局工作人员，0358-4427339。满地的枣子是他们一年的汗水和希望，帮扩，转起！,0,多一次转发，多一份希望,,财经商业
当几个残疾小孩唱出：“以后我会英俊吗？会富有吗？妈妈说，世事不可强求，一切順其自然吧。”很震撼，泪奔！最后二十几秒的歌声空白，让人遐想联翩~~,0,,,文体娱乐
一名前日才持双程证来港的内地男子，昨晨闯进尖沙咀一间银行递纸条打劫。据悉，劫案现场为尖沙咀金马伦道10号地下富邦银行分行，昨日上午11时许，一名男子在上址银行柜位突向一名女职员递一张写有「打劫!限两分钟内交出200万元」的字条，女职...展开全文c,0,已蠢哭！劫匪递纸条抢劫银行女职员镇定报警擒贼,,社会生活
20日，江苏兴化市周庄镇农贸市场发生一起城管执法人员与一名农妇纠缠致其重伤的事件。22日下午，该农妇在医院里经抢救无效死亡。城管在执法中掀翻了经营户李祖扣摊点，李夫妇与城管人员发生了厮打、纠缠，李祖扣妻子、56岁的林红英腹部被踢一脚造成肝血管、脾脏破裂引发死亡。,1,,,社会生活
长春丢了的孩子已经找到了。小偷把车仍路边没熄火。真高兴。F傻鸟_汪小贱Wbaiyuzhuzhu园小园_YY昀宝妈CRYSTAL_TU蔡康永大鹏看天下房子下的宝贝们何炅男生宿舍舍长长春国贸我在:2CaesarAve,1,,,社会生活
真的去世了中午的事儿最次的车还是奥迪车一排排的,1,,#张士平去世#,财经商业
?转发:帮忙转一下，一名北京三中的学生，叫谢露，13岁，消失几天了，他爸爸的号码是18611098634，或者18210183168，爱心接力，好友们都帮她忙转下，必有好报。转发,1,,,教育考试
年轻时无论如何要确立一个目标。一克服懒惰消极靠目标。没目标就瞎混，一天到晚打牌玩游戏睡懒觉。二克服怨天尤人靠目标。没目标就牢骚满腹，小小年纪，什么都没干就学出一付失意老者的尖酸刻薄，一肚皮不合时宜，一脑子愤愤不平，觉得全世界对不起你。最无聊。古语说：“品卑由于无志。”定方向要努力,0,,,文体娱乐
虽然但是爱奇艺你再挺挺这手真的有点长奥骂也只能我们骂轮不到你们管的有点多不是虽然还是很想笑曾可妮Jenny-Z曾可妮你说是不是,0,,#爱奇艺遭美国证监会调查#,财经商业
浓浓雾霾，北京这些地标都消失了…via.头条新闻小编想起一句歌词，他们都老了吧，他们在哪里呀……看了这些图，你想唱起哪首歌？,0,“被发射了”的北京著名建筑[笑cry],#映像#,社会生活
沪指震荡微跌0.16%人气继续降温】早盘两市继续缩量震荡，开盘军工、白酒等带头，指数一度冲高，创业板最高涨1.6%，农业带头跳水，指数全线翻绿，尾盘小幅反抽，数字货币等拉升；截至午间收盘，沪指跌0.16%，深证成指涨0.15%，创业板指涨0.15%。,0,,#股市#,财经商业
网友赖小特特：今天终于亲眼见到了城管暴力执法，真是往死里打啊！一群年轻力壮的城管围殴一个板车小贩，而且下死手。图中人已经被按在车上了，后脑、脊柱等致命部位暴露无遗。如果不是群众上来解围恐怕非死即残。山东那哥们必然也是这么被打残废的。谁给你们权力这么对待老百姓的！在西直门桥北路西,1,,,社会生活
在工信部，运营商双重压力下，小马哥最终没能顶住，微信收费可能将于7月1日开始，收费标准信息5分/条，语音1毛/条，按这样的标准有多少人会放弃微信？其实中国人的微信使用已经包含了流量费，如果微信收费那么微博没理由不收费。微信如果收费了，大家还用么？,1,,,财经商业
地震发生时，一只害怕的熊猫死死地抱住警察叔叔的腿。据中新网，雅安市中国保护大熊猫研究中心碧峰峡基地内的工作人员和熊猫暂无伤亡。熊猫生性胆小，地震发生后，基地内的熊猫受到惊吓，经工作人员呵护安抚已恢复平静，食物和供水均有保障。,1,感动又被萌翻,#1024微雅安#,灾难事故
齐鲁网12月19日讯临沂平邑县郑城镇油篓村共有36栋两层别墅、四栋居民楼，而每当过年过节，村里的宝马、奔驰、玛莎拉蒂等豪车根本停不开。年收入20多万的家庭算一般一下情况。深山农民可以“收入超越上海”，都因为一张煎饼。,0,村民上海卖煎饼年收入几十万,,社会生活
广州南站有位乘客在站台上等车玩手机，一不小心脚挑空题了，掉在铁轨上了，刚好高铁开过来了，被夹到了，真是生不如死啊！所以说快过年了，回家的人出门的人还是，要注意安全！不要老是玩手机，变成这样，后悔一辈子，毕竟人的生命只有一次。深圳樊贵生5977290264的微博视频,1,,,灾难事故
好期待这一天让西方感受我们社会主义铁锤??,0,,#美共和党议员要求推特封禁中国账户#,政治
不想平淡妆，那就在眼部加一条彩色心机线，让妆面与众不同哦~1，沿着睫毛根部轻轻描绘，不要太粗或太明显。2，用眼线液用点的方式填补睫毛根部，加强睫毛的浓度。Point!因为眼睛大，眼线画太粗反而会显眼小。3，用咖啡色的眼线把上下眼尾做连结。任何颜色都可以画，只要你喜欢！,0,不怕撞衫怕撞脸,,社会生活
李克强总理签署第663号国务院令，公布，将于2016年1月1日起施行。（中国政府网）,0,李克强签署国务院令?公布《居住证暂行条例》,,政治
国务院将于近日正式批复上海市，同意自2013年1月起撤消上海市静安区，以富民路--常德路为界线，其西面整体并入上海市长宁区；其东面整体并入...,1,,,社会生活
转！高考准考证招领：天津塘沽区白娅倩准考证号204101311联系电话13115522551；天津18中附近拾获李亚成的高考准考证，联系电话：13453112081天津微吧天津交通广播官方微博1068帮忙广播下呗！今晚报乐活天津大麦网天津站桃桃琳200张宸,1,,,教育考试
2月26日早上八点二十六分，李天一已经获得取保后审，现正回家中。,1,,,军事
日本富士新闻网报道，据日本政府人士透露，两艘中国海军护卫舰出现在钓鱼岛西北80海里海域。这是中国海军首次出现在这一地区。,0,日媒称中国海军护卫舰出现在钓鱼岛附近,,军事
近日，网传依据为北京大学博雅计划、清华大学领军计划的资格初审数据，梳理出两校认定的各省名校。芜湖一中以两校比重总和6.63%位列并列第八。排行前三的分别是合肥一中、安庆一中和六安一中。你的学校入榜了吗？,0,网传“清华北大认可安徽最强的高中”芜湖一中位列并列第八,#芜湖身边事#,教育考试
你看到你微博了吧你看到阅读数量了吧哈哈哈我告诉你们一个好消息新浪要完全把腾讯的东西模仿了所以最近访客过几天也会有的大家放心去偷看你喜欢的人的微博吧,1,,,科技
如果此案仍以嫖宿幼妓判处，你的心理底线会怎样：河南南阳宛城区红泥湾镇一7岁二年级女生明明(化名)放学后被班主任老师刘翔宇叫到办公室，１小时后回到家神情异常，伴有下身大出血。自述班主任刘翔宇让她脱掉裤子...这畜生罪过！快转起来！O网页链接张小云,1,幼女遭老师强奸大出血３小时,,教育考试
今天上午一个三岁多小男孩在苏州世纪家园小区附近被人拐走了，小男孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人张静杰13759695559苏州公安平安江苏苏州新闻扬子晚报陈士渠2鹿山路,1,,,社会生活
"1.随意签收快递就中招，2.危险的免费钥匙圈,切不可随意接受；3.10086电话或者10010查线路，....这三个骗局已经致使不少人上当受骗，提醒一下朋友吧。。。大家戳图扩起来~~",1,警方提示：注意了，新骗局来了！！！,,社会生活
有准备生出一队足球队的吗？看看这个奇迹的11胎！,1,,,社会生活
网友爆料：出来吃个饭被某店里的一幕惊到，听店里其他客人反映，美团外卖员因订单快要超时，催促商家出餐引起商家不满。而对外卖员破口大骂，双方发生口角，后来矛盾升级引发双方动手。宁波宁波倪少的微博视频,1,#宁波两名外卖员与商家大打出手#,#宁波两名外卖员与商家大打出手#,社会生活
"上海的哥李师傅接妻子回家,路遇7、8人醉酒拦车,李师傅解释车上已经接了妻子,他们还不依不饶,竟还殴打李师傅的妻子,眼看妻子被殴打在地,李师傅拿刀保护家人,过程中捅伤了3名滋事的醉汉，但代价却是李师傅换来自己5年的牢狱之灾！",0,碰到7、8个人殴打你怎么办？被打死活该，千万不要反抗！,,社会生活
如果有一天，我变得冷漠了，请记得，我曾经要人陪的时候你只说忙；如果有一天，我变得目中无人了，请记得，曾经也没人把我放在心里；如果有一天，我不再在乎你了，请记得，曾经也没人听过我的心事；如果有一天，我不再对你笑，请记得，你曾经也没问我过的快不快乐。,0,晚安。土豆,,文体娱乐
深圳作家罗尔5岁爱女罗一笑，不幸患白血病。自称不愿占用公益资源，而选择“卖文”。某机构转载其微信文章，称每转发一次会捐出一元钱。但今天剧情反转，有网友爆料，称这是一场营销，目前深圳市民政部门介入。你怎么看？投票→,0,深圳女童患病父亲网文刷屏：罗一笑，你给我站住,,医药健康
这次摄像头没失灵，向报道此事的深圳电视媒体致礼！不得不承认敢于报道，深圳再一次走在了全国的前面，请看：城管取缔老太摊位，一位收废报纸的老人向城管去索要自己的秤，被城管的汽车从身上活活碾压过去。,1,深圳：城管取缔老太摊位，却用碾压老太致死,,社会生活
山东大学降低40分还招不满。说明从山大出来不是不好找工作的问题，而是不好找对象的问题。本地生太不给面子？山东大学降低40分录取，仍未完成招生计划,1,,,教育考试
朋友圈得知襄阳零点便成为湖北最后一个封锁的城市…至此，湖北封省。相反没有了之前的焦躁不安…现在给自己打气，身为湖北省其他城市的居民，除了保护好自己和家人，鼓励被留在武汉的朋友，剩下的就是相信国家，相信医护人员，我们一定会战胜病毒的。,1,,#湖北封省#,医药健康
警察打人了，清清楚楚，明明白白。虽不清楚前因后果是什么。但是基本事实是，警察脚踢根本不会造成任何威胁危害的人。即使是这人违了法、犯了罪，也不能这样踢人。求媒体报道。直播南京官方版视频地址在这里O网页链接,1,,,社会生活
8小时前，川皇几乎晕倒，取消了后续全部安排。浪迹天涯律师的微博视频,1,,#张文宏称疫情今夏结束基本已不可能#,政治
别用正在充电的手机接听电话，关爱自己，切记！！！！！,1,,,医药健康
快报：李天一翻案成功！刚刚得到的消息，三里屯「Rivuai160」酒吧的老板被警方带走，警方开始对酒吧进行卖淫调查，李天一等五人有望立即由被告变为证人，最快周末出狱！,1,,,军事
据称已按照治安案件处理，拘留加罚款。1、是否强奸未遂？学刑法的都得承认证明故意很难，尤其面对一个言语不通又不敢刑讯逼供的家伙，所以一开始我就判断不可能按照强奸处理。2、应按照强制猥亵妇女罪处理，客观上已经在公共场所实施行为，在主观上当然伴随着认识。,0,北京宣武门外国人猥亵女子案,,社会生活
“大禹治水”治的是什么水？“一问三不知”是不知道哪三样？“弱冠”指的是男子多少岁？……戳图↓↓看文化知识100题，能不能考住你？和小伙伴一起来测测自己的传统文化功底吧！,0,一起涨知识！文化知识100题[推荐],#涨姿势#,文体娱乐
